date,KBFI,KSEA,KRNT
201505190015,0,0,0
201505190016,0,0,0
201505190017,0,0,0
201505190018,0,0,0
201505190019,0,0,0
201505190020,0,0,0
201505190021,0,0,0
201505190022,0,0,0
201505190023,0,0,0
201505190024,0,0,0
201505190025,0,0,0
201505190026,0,0,0
201505190027,0,0,0
201505190028,0,0,0
201505190029,0,0,0
201505190030,0,0,0
201505190031,0,0,0
201505190032,0,0,0
201505190033,0,0,0
201505190034,0,0,0
201505190035,0,0,0
201505190036,0,0,0
201505190037,0,0,0
201505190038,0,0,0
201505190039,0,0,0
201505190040,0,0,0
201505190041,0,0,0
201505190042,0,0,0
201505190043,0,0,0
201505190044,0,0,0
201505190045,0,0,0
201505190046,0,0,0
201505190047,0,0,0
201505190048,0,0,0
201505190049,0,0,0
201505190050,0,0,0
201505190051,0,0,0
201505190052,0,0,0
201505190053,0,0,0
201505190054,0,0,0
201505190055,0,0,0
201505190056,0,0,0
201505190057,0,0,0
201505190058,0,0,0
201505190059,0,0,0
201505190100,0,0,0
201505190101,0,0,0
201505190102,0,0,0
201505190103,0,0,0
201505190104,0,0,0
201505190105,0,0,0
201505190106,0,0,0
201505190107,0,0,0
201505190108,0,0,0
201505190109,0,0,0
201505190110,0,0,0
201505190111,0,0,0
201505190112,0,0,0
201505190113,0,0,0
201505190114,0,0,0
201505190115,0,0,0
201505190116,0,0,0
201505190117,0,0,0
201505190118,0,0,0
201505190119,0,0,0
201505190120,0,0,0
201505190121,0,0,0
201505190122,0,0,0
201505190123,0,0,0
201505190124,0,0,0
201505190125,0,0,0
201505190126,0,0,0
201505190127,0,0,0
201505190128,0,0,0
201505190129,0,0,0
201505190130,0,0,0
201505190131,0,0,0
201505190132,0,0,0
201505190133,0,0,0
201505190134,0,0,0
201505190135,0,0,0
201505190136,0,0,0
201505190137,0,0,0
201505190138,0,0,0
201505190139,0,0,0
201505190140,0,0,0
201505190141,0,0,0
201505190142,0,0,0
201505190143,0,0,0
201505190144,0,0,0
201505190145,0,0,0
201505190146,0,0,0
201505190147,0,0,0
201505190148,0,0,0
201505190149,0,0,0
201505190150,0,0,0
201505190151,0,0,0
201505190152,0,0,0
201505190153,0,0,0
201505190154,0,0,0
201505190155,0,0,0
201505190156,0,0,0
201505190157,0,0,0
201505190158,0,0,0
201505190159,0,0,0
201505190200,0,0,0
201505190201,0,0,0
201505190202,0,0,0
201505190203,0,0,0
201505190204,0,0,0
201505190205,0,0,0
201505190206,0,0,0
201505190207,0,0,0
201505190208,0,0,0
201505190209,0,0,0
201505190210,0,0,0
201505190211,0,0,0
201505190212,0,0,0
201505190213,0,0,0
201505190214,0,0,0
201505190215,0,0,0
201505190216,0,0,0
201505190217,0,0,0
201505190218,0,0,0
201505190219,0,0,0
201505190220,0,0,0
201505190221,0,0,0
201505190222,0,0,0
201505190223,0,0,0
201505190224,0,0,0
201505190225,0,0,0
201505190226,0,0,0
201505190227,0,0,0
201505190228,0,0,0
201505190229,0,0,0
201505190230,0,0,0
201505190231,0,0,0
201505190232,0,0,0
201505190233,0,0,0
201505190234,0,0,0
201505190235,0,0,0
201505190236,0,0,0
201505190237,0,0,0
201505190238,0,0,0
201505190239,0,0,0
201505190240,0,0,0
201505190241,0,0,0
201505190242,0,0,0
201505190243,0,0,0
201505190244,0,0,0
201505190245,0,0,0
201505190246,0,0,0
201505190247,0,0,0
201505190248,0,0,0
201505190249,0,0,0
201505190250,0,0,0
201505190251,0,0,0
201505190252,0,0,0
201505190253,0,0,0
201505190254,0,0,0
201505190255,0,0,0
201505190256,0,0,0
201505190257,0,0,0
201505190258,0,0,0
201505190259,0,0,0
201505190300,0,0,0
201505190301,0,0,0
201505190302,0,0,0
201505190303,0,0,0
201505190304,0,0,0
201505190305,0,0,0
201505190306,0,0,0
201505190307,0,0,0
201505190308,0,0,0
201505190309,0,0,0
201505190310,0,0,0
201505190311,0,0,0
201505190312,0,0,0
